Hotel ID,Hotel Name,Hotel Rank,Hotel Address,Total Score,Vị trí,Độ sạch sẽ,Dịch vụ,Tiện nghi,Đáng giá tiền,Sự thoải mái và chất lượng phòng
2_5,Khách sạn Boutique Seasing (Seasing Boutique Hotel),4 sao trên 5,"Số 1 Củ Chi, Vĩnh Hải, Nha Trang, Việt Nam",8.9,8.5,9.2,9.2,8.9,9.1,9.2
2_6,Golden Nha Trang Hotel,3 sao trên 5,"136 Hùng Vương, Lộc Thọ, Nha Trang, Việt Nam",8.4,8.9,8.5,8.7,8.0,8.4,8.299999999999999
2_7,The Swan Hotel,3 sao trên 5,"5A Hẻm Tuệ Tĩnh, Lộc Thọ, Nha Trang, Việt Nam, 640000",8.4,8.2,8.7,8.8,8.2,8.7,8.299999999999999
2_8,Dubai Nha Trang Hotel,3 sao trên 5,"20 Tôn Đản, Phường Lộc Thọ, Thành Phố Nha Trang, Lộc Thọ, Nha Trang, Việt Nam, 65000",8.1,8.8,8.1,8.3,7.8,8.2,8.299999999999999
2_9,Panorama Nha trang & Breakfast,5 sao trên 5,"2 Nguyễn Thị Minh Khai, The Empyrean Nha Trang - Panorama Nha Trang, Lộc Thọ, Nha Trang, Việt Nam, 650000",7.0,8.8,7.0,6.3,6.8,6.8,8.299999999999999
2_10,Oceanus Oasis Retreat Muong Thanh Vien Trieu,3 sao trên 5,"Phạm Văn Đồng, Vĩnh Phước, Nha Trang, Việt Nam, 650000",7.4,8.3,6.7,7.6,7.0,7.4,8.299999999999999
2_11,Maris Hotel Nha Trang,4 sao trên 5,"27 Trần Quang Khải, Phường Lộc Thọ, Thành phố Nha Trang, Tỉnh Khánh Hòa, Lộc Thọ, Nha Trang, Việt Nam, 650000",9.2,9.4,9.4,9.2,9.2,9.4,8.299999999999999
2_12,Căn hộ bãi biển Pearl Nha Trang (Pearl Nha Trang Beach Apartment),,"60 Trần Phú, Lộc Thọ, Nha Trang, Việt Nam, 650000",8.5,9.3,8.9,9.0,8.5,9.0,8.299999999999999
2_13,Panorama Nha Trang by HLG,5 sao trên 5,"2 Nguyễn Thị Minh Khai, Panorama Nha Trang, Lộc Thọ, Nha Trang, Việt Nam, 650000",8.1,9.2,8.1,7.8,7.9,8.1,8.299999999999999
2_14,Khách sạn Imperial Nha trang (Imperial Nha Trang Hotel),4.5 sao trên 5,"20 Trần Phú, Vĩnh Nguyên, Vĩnh Trường, Nha Trang, Việt Nam",8.9,9.0,9.1,9.3,8.8,8.9,8.299999999999999
2_15,Khu nghỉ dưỡng Duyên Hà - Cam Ranh (Duyen Ha Resort Cam Ranh),5 sao trên 5,"Lô D9B, Khu 3, Xã Cam Hải Đông, Cam Hải Đông, Nha Trang, Việt Nam, 650000",8.8,8.2,9.2,9.1,8.8,9.1,8.299999999999999
2_16,Meliá Vinpearl Nha Trang Empire,5 sao trên 5,"44-46 Lê Thánh Tôn, Lộc Thọ, Nha Trang, Việt Nam, 57100",9.0,9.3,9.2,9.3,9.0,9.1,8.299999999999999
2_17,Nha Trang Horizon Hotel,5 sao trên 5,"Dương Hiến Quyền, Vĩnh Hòa, Nha Trang, Việt Nam, 650000",8.8,8.4,9.2,9.1,8.9,9.1,8.299999999999999
2_18,TK Nha Trang Hotel,3 sao trên 5,"OC3 - Muong Thanh Vien Trieu Building , Vĩnh Phước, Nha Trang, Việt Nam, 650000",7.8,8.1,7.9,8.0,7.7,8.0,8.299999999999999
2_19,Royal Hotel Nha Trang,3 sao trên 5,"172/8 Bach Dang, Tân Lập, Nha Trang, Việt Nam, 650000",7.7,8.4,7.8,7.6,7.2,8.0,8.299999999999999
2_20,Khách sạn V Nha Trang (V Hotel Nha Trang),4 sao trên 5,"8 Hung Vuong, Lộc Thọ, Nha Trang, Việt Nam, 57000",8.6,9.0,8.8,8.7,8.3,8.7,8.299999999999999
2_21,Khách sạn BlueSea 10,3 sao trên 5,"96B/5/11 Trần Phú- Lộc Thọ, Lộc Thọ, Nha Trang, Việt Nam, 65000",9.3,9.3,9.6,9.6,9.4,9.4,8.299999999999999
2_22,TRUONG THINH HOTEL,3 sao trên 5,"85 CU CHI, Vĩnh Hải, Nha Trang, Việt Nam, 000052",8.3,8.1,8.3,8.5,8.0,8.6,8.299999999999999
2_23,The Anam Cam Ranh,5 sao trên 5,"Đại lộ Nguyễn Tất Thành, Cam Ranh, Cam Hải Đông, Nha Trang, Việt Nam, 650000",9.1,8.6,9.4,9.5,9.3,9.3,8.299999999999999
2_24,DB Hotel Nha Trang,4 sao trên 5,"96A/6/13-14 Tran Phu Street, Lộc Thọ, Nha Trang, Việt Nam, 650000",7.9,8.7,7.8,8.3,7.8,8.0,8.299999999999999
2_25,Khách sạn Ale Nha Trang (Ale Nha Trang Hotel),,"127/10 Nguyễn Thiện Thuật, Lộc Thọ, Nha Trang, Việt Nam",8.3,8.7,8.4,8.6,7.9,8.5,8.299999999999999
2_26,Khách Sạn Starcity Nha Trang (StarCity Nha Trang Hotel),5 sao trên 5,"72 - 74 Trần Phú, Lộc Thọ, Nha Trang, Việt Nam",8.6,9.3,8.7,8.8,8.2,8.6,8.0
2_27,"Căn hộ 72 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Partial sea view 2 Bedroom, Oceanus Hon Chong)",5 sao trên 5,"Vĩnh Phước, Nha Trang, Việt Nam",7.6,8.0,6.0,8.045620437956204,7.701666666666666,8.0,8.299999999999999
2_28,Khách sạn Prague Nha Trang (Prague Nha Trang Hotel),3 sao trên 5,"6D Qu&#226;n Trấn, H&#249;ng Vương, Lộc Thọ, Nha Trang, Việt Nam, 650000",7.9,8.2,7.4,8.4,7.4,7.9,8.299999999999999
2_29,Khách sạn & Spa Boton Blue (Boton Blue Hotel & Spa),5 sao trên 5,"Phạm Văn Đồng, Vĩnh Hòa, Nha Trang, Việt Nam, 650000",8.5,7.3,9.1,8.9,8.7,8.8,8.299999999999999
2_30,Khách sạn Art Nest Nha Trang (Art Nest Hotel Nha Trang),,"Số 33 đường Hùng Vương, Lộc Thọ, Nha Trang, Việt Nam, 65000",8.9,9.3,9.1,9.0,8.8,9.2,8.299999999999999
3_1,TUI BLUE Nha Trang,5 sao trên 5,"18 Trần Hưng Đạo, Lộc Thọ, Nha Trang, Việt Nam, 12345",8.8,9.1,8.9,9.0,8.6,9.0,8.299999999999999
3_2,Full House Hotel,3 sao trên 5,"03 Ngô Sỹ Liên, Vạn Thắng, Nha Trang, Việt Nam",7.6,7.9,7.8,7.8,7.6,8.2,8.299999999999999
3_3,Khu Nghỉ Dưỡng Movenpick Cam Ranh (Movenpick Resort Cam Ranh),5 sao trên 5,"Plot D12 ABC, Cam Hải Đông, Nha Trang, Việt Nam, 57000",8.7,8.6,8.9,8.9,9.0,9.0,8.299999999999999
3_4,Handy Panorama Nha Trang Ocean View,4 sao trên 5,"2 Nguyen Thi Minh Khai, Lộc Thọ, Nha Trang, Việt Nam, 650000",8.1,9.3,8.0,7.9,8.0,8.3,8.299999999999999
3_5,TTC Van Phong Bay Resort,5 sao trên 5,"Doc Let, Ninh Hoa, Tinh Khanh Hoa, Dốc Lết, Nha Trang, Việt Nam, 57300",9.1,9.0,9.5,9.1,9.2,9.2,8.299999999999999
3_6,Khách sạn Thái Bình (Khach san Thai Binh),,"40 Đinh Tiên Hoàng, Lộc Thọ, Nha Trang, Việt Nam",7.7,7.9,7.0,8.3,6.6,7.9,8.299999999999999
3_7,Annova Nha Trang Hotel,5 sao trên 5,"5 Lý Tự Trọng, Lộc Thọ, Nha Trang, Việt Nam, 650000",8.8,9.2,9.1,8.8,8.5,8.9,8.299999999999999
3_8,OYO 898 Khách sạn Phương Thảo (OYO 898 Phuong Thao Hotel),2 sao trên 5,"82-84 Truong Dinh, phuong phuoc Hoa, thanh pho Nha Trang, Phước Hòa, Nha Trang, Việt Nam, 650000",7.3,7.7,7.5,7.9,7.2,7.7,8.299999999999999
3_9,Khu nghỉ dưỡng và Spa Pax Ana Dốc Lết (Pax Ana Doc Let Resort and Spa),5 sao trên 5,"Doc Let Beach, Dốc Lết, Nha Trang, Việt Nam, 653020",9.0,9.0,9.2,9.2,8.9,8.9,8.299999999999999
3_10,Khách sạn Dendro Gold (Dendro Gold Hotel ),4 sao trên 5,"86/4 Tran Phu Street, Lộc Thọ, Nha Trang, Việt Nam, 57106",9.0,8.9,9.1,9.3,8.9,9.1,9.0
3_11,Green Beach Nha Trang,5 sao trên 5,"65 Trần Quang Khải, Lộc Thọ, Nha Trang, Việt Nam, 650000",8.9,9.0,8.9,9.4,8.7,9.0,8.299999999999999
3_12,The Time Nha Trang Hotel,4 sao trên 5,"17/15 Nguyễn Thị Minh Khai street, loc tho ward, nha trang city, vietnam, Lộc Thọ, Nha Trang, Việt Nam, 650000",8.9,9.3,9.2,9.2,8.8,9.2,8.299999999999999
3_13,Vinpearl Resort & Spa Nha Trang Bay,5 sao trên 5,"Hòn Tre, Hòn Tre, Nha Trang, Việt Nam, 650000",8.7,8.5,9.1,9.0,8.8,8.9,9.1
3_14,Starlight Nha Trang,3 sao trên 5,"34 Nguyễn Thiện Thuật, Star Light, Tân Lập, Nha Trang, Việt Nam, 650000",8.3,8.9,8.4,9.0,7.9,8.6,8.299999999999999
3_15,A Páo Cafe & Homestay,1 sao trên 5,"05 Pham Van Dong, Vĩnh Phước, Nha Trang, Việt Nam, 650000",8.9,9.3,9.2,9.1,9.1,9.1,8.299999999999999
3_16,ibis Styles Nha Trang,4 sao trên 5,"86 Hùng Vương, Phường Lộc Thọ, Thành phố Nha Trang, Lộc Thọ, Nha Trang, Việt Nam, 650000",8.6,9.1,8.9,8.8,8.4,8.7,8.299999999999999
3_17,Khách sạn Skylight Nha Trang (Skylight Nha Trang Hotel),3 sao trên 5,"31/4c+31/c5 Biet Thu Street, Tan Lap Ward, Nha Trang City, Tân Lập, Nha Trang, Việt Nam, 650000",8.5,9.3,9.2,9.0,8.7,9.1,8.299999999999999
3_18,Khách sạn Bonjour Nha Trang (Bonjour Nha Trang Hotel),4 sao trên 5,"17/2A Nguyễn Thị Minh Khai, Lộc Thọ, Nha Trang, Việt Nam",8.1,8.4,8.2,8.4,7.9,8.2,8.299999999999999
3_19,Khách sạn Super OYO 598 Peony (Super OYO 598 Peony Hotel),2 sao trên 5,"352, Pham Van Dong, Cam Linh, Cam Ranh, Nha Trang, Cam Ranh, Nha Trang, Việt Nam, 650000",8.2,8.5,8.5,8.5,8.0,8.7,8.299999999999999
3_20,Khách sạn Blue Pearl (Blue Pearl Hotel),3 sao trên 5,"90 - 92 Trần Phú, Lộc Thọ, Nha Trang, Việt Nam",8.5,9.2,8.7,8.8,8.1,8.3,8.299999999999999
3_21,OYO 942 Căn Hộ Cường Hải (OYO 942 Cuong Hai Apartment),2 sao trên 5,"54 Khu A duong Hoang Sa, phuong Vinh Nguyen, thanh pho Nha Trang, tinh Khanh Hoa, Vĩnh Trường, Nha Trang, Việt Nam, 650000",6.8,6.5,7.1,7.0,6.1,6.9,8.299999999999999
3_22,Shoho Hotel Nha Trang,3.5 sao trên 5,"21/7 Dang Tat, Vĩnh Hải, Nha Trang, Việt Nam, 650000",8.7,8.7,8.9,9.2,8.7,9.0,8.299999999999999
3_23,Fusion Resort Cam Ranh – All Spa Inclusive (Fusion Resort Cam Ranh - All Spa Inclusive),5 sao trên 5,"Lô D10b, Khu Du Lịch Bắc Bán Đảo Cam Ranh, Xã Cam Hải Đông, Huyện Cam Lâm, Tỉnh Khánh Hòa, Cam Hải Đông, Nha Trang, Việt Nam, 65000",8.8,8.3,9.1,9.2,9.0,8.9,9.6
3_24,Oasis Nha Trang Hotel,1.5 sao trên 5,"64B/12 Trần Phú, Lộc Thọ, Nha Trang, Việt Nam",8.1,8.8,8.2,8.9,7.9,8.1,8.299999999999999
3_25,Khách Sạn Ventana Nha Trang (Ventana Nha Trang Hotel),4 sao trên 5,"127/5 Nguyen Thien Thuat Street, Lộc Thọ, Nha Trang, Việt Nam, 650000",9.0,9.4,9.0,9.3,8.6,9.2,8.299999999999999
3_26,Aaron Boutique Hotel,4 sao trên 5,"16 Biệt Thự, 20, Lộc Thọ, Nha Trang, Việt Nam, 650000",9.1,9.1,9.4,9.5,9.0,9.3,8.299999999999999
3_27,GM Doc Let Beach Resort and Spa,4 sao trên 5,"277 Lê Hồng Phong, Phường Ninh Thủy, Thị xã Ninh Hòa, Tỉnh Khánh Hòa, Vịnh Ninh Vân, Nha Trang, Việt Nam",7.2,7.4,7.2,7.3,6.9,7.4,7.1
3_28,The Costa Nha Trang (The Costa Nha Trang Residences),5 sao trên 5,"32 – 34 Trần Phú, Lộc Thọ, Nha Trang, Việt Nam, 650000",8.6,9.3,8.7,8.6,8.1,8.6,8.8
3_29,Khách sạn Nagar Nha Trang (Nagar Hotel Nha Trang),4 sao trên 5,"1I Quân Trấn, Hùng Vương, Lộc Thọ, Nha Trang, Việt Nam",8.7,8.8,8.9,8.9,8.4,8.9,8.299999999999999
3_30,Grand Tourane Nha Trang Hotel,4 sao trên 5,"23 - 25 Hùng Vương, Lộc Thọ, Nha Trang, Việt Nam, 650000",9.1,9.2,9.3,9.3,9.1,9.4,8.299999999999999
4_1,Khu nghỉ dưỡng Khách sạn & Spa Champa Island Nha Trang (Champa Island Nha Trang - Resort Hotel & Spa),5 sao trên 5,"304 - Đường 2/4, Phường Vĩnh Phước, Ngọc Hiệp, Nha Trang, Việt Nam, 57000",8.9,8.5,9.2,9.3,9.0,9.2,9.2
4_2,The Sea Luxury Nha Trang Apartment,5 sao trên 5,"36 Trần Phú, Lộc Thọ, Nha Trang, Việt Nam, 650000",8.5,9.5,8.4,8.8,8.1,8.6,8.299999999999999
4_3,Gonsala Hotel Nha Trang,5 sao trên 5,"24 Hung Vuong Street, Loc Tho Ward, Nha Trang City, Khanh Hoa, Viet Nam, Lộc Thọ, Nha Trang, Việt Nam, 650000",9.7,10.0,9.7,9.9,9.3,9.5,8.299999999999999
4_4,Seaview Cam Ranh,5 sao trên 5,"The Arena Cam Ranh resort, đại lộ Nguyễn Tất Thành, Cam Ranh, Khánh Hòa, Cam Ranh, Nha Trang, Việt Nam, 650000",8.3,8.6,8.8,8.4,7.9,8.5,8.299999999999999
4_5,Heritage Boutique Sierra Legend,,"101 Nguyen Thien Thuat, Lộc Thọ, Nha Trang, Việt Nam, 650000",8.2,9.2,8.3,8.8,7.9,8.6,8.299999999999999
4_6,Khách sạn Alibaba (Alibaba Hotel),2 sao trên 5,"51/3 Tuệ Tĩnh, Thành Phố Nha Trang, Lộc Thọ, Nha Trang, Việt Nam, 650000",8.1,8.4,8.2,8.1,7.6,8.4,8.299999999999999
4_7,Khách sạn & Căn hộ Hà Trang (Ha Trang Voronezh Hotel and Apartment),4 sao trên 5,"26 Pasteur, Xuong Huan Ward, Nha Trang City, Khanh Hoa Province, Xương Huân, Nha Trang, Việt Nam, 65000",9.7,10.0,10.0,9.7,9.3,9.7,8.299999999999999
4_8,Khách Sạn Boutique Em Ơi (Em Oi Boutique Hotel),4 sao trên 5,"60 Phan Chu Trinh, Xương Huân, Nha Trang, Việt Nam, 650000",8.9,8.9,9.2,9.3,8.9,9.0,8.299999999999999
4_9,Khách sạn Orbit (Orbit Hotel),5 sao trên 5,"Lot 191-192, An Vien, Vinh Truong Ward, Vĩnh Trường, Nha Trang, Việt Nam",8.5,8.3,9.1,8.8,8.2,8.7,8.299999999999999
4_10,Khách sạn Poseidon Nha Trang (Poseidon Nha Trang Hotel),4 sao trên 5,"30 Trần Quang Khải, Lộc Thọ, Nha Trang, Việt Nam, 57106",8.1,8.6,8.1,8.4,7.7,8.1,8.299999999999999
4_11,Blue Sea 2 Hotel Nha Trang,,"129 Cu Chi street, Vĩnh Hải, Nha Trang, Việt Nam, 0258",7.7,7.7,7.6,7.9,7.2,8.0,3.0
4_12,Khách sạn Havana  Nha Trang (Havana Nha Trang Hotel),5 sao trên 5,"38 Trần Phú, Lộc Thọ, Nha Trang, Việt Nam, 650000",9.0,9.5,9.1,9.2,9.1,9.2,8.8
4_13,Happy Star Hotel Nha Trang,3 sao trên 5,"Hùng Vương, Lộc Thọ, Happy Star Hotel Nha Trang, Lộc Thọ, Nha Trang, Việt Nam, 650000",7.2,8.0,8.8,8.8,7.8,7.6,8.299999999999999
4_14,Diamond Bay Hotel,5 sao trên 5,"20 Trần Phú, Lộc Thọ, Nha Trang, Việt Nam",8.7,9.3,8.7,8.9,8.7,8.8,10.0
4_15,La Sera Suites Nha Trang,4 sao trên 5,"Lô 238 - Ô LK B1- Khu du lịch sinh thái An Viên Căn hộ cao cấp, Vĩnh Trường, Nha Trang, Việt Nam",8.5,8.6,9.4,9.1,8.2,8.9,8.299999999999999
4_16,Khách sạn Dqua (DQua Hotel),5 sao trên 5,"29 Phan Chu Trinh Street, Xương Huân, Nha Trang, Việt Nam, 65000",8.6,8.5,9.0,9.1,8.6,9.1,8.299999999999999
4_17,Khách sạn Red Sun Nha Trang (Red Sun Nha Trang Hotel),4 sao trên 5,"96B Trần Phú, Lộc Thọ, Nha Trang, Việt Nam",8.6,8.9,8.8,8.7,8.2,8.5,8.299999999999999
4_18,Trieu Khang Hotel,2 sao trên 5,"70-74 Đại lộ Hùng Vương, Nghĩa An, Cam Nghĩa, Cam Ranh, Khánh Hoà, Cam Ranh, Nha Trang, Việt Nam, 450000",7.6,7.1,7.9,7.8,7.2,8.1,8.299999999999999
4_19,PANAMA Nha Trang Hotel,5 sao trên 5,"39 Hùng Vương, Lộc Thọ, Lộc Thọ, Nha Trang, Việt Nam, 650000",9.0,9.4,9.3,9.4,8.9,9.1,8.299999999999999
4_20,Khách sạn Orbit (Orbit Hotel),5 sao trên 5,"Lot 191-192, An Vien, Vinh Truong Ward, Vĩnh Trường, Nha Trang, Việt Nam",8.5,8.3,9.1,8.8,8.2,8.7,8.299999999999999
4_21,Khách sạn Poseidon Nha Trang (Poseidon Nha Trang Hotel),4 sao trên 5,"30 Trần Quang Khải, Lộc Thọ, Nha Trang, Việt Nam, 57106",8.1,8.6,8.1,8.4,7.7,8.1,8.299999999999999
4_22,Blue Sea 2 Hotel Nha Trang,,"129 Cu Chi street, Vĩnh Hải, Nha Trang, Việt Nam, 0258",7.7,7.7,7.6,7.9,7.2,8.0,3.0
4_23,Khách sạn Havana  Nha Trang (Havana Nha Trang Hotel),5 sao trên 5,"38 Trần Phú, Lộc Thọ, Nha Trang, Việt Nam, 650000",9.0,9.5,9.1,9.2,9.1,9.2,8.8
4_24,Happy Star Hotel Nha Trang,3 sao trên 5,"Hùng Vương, Lộc Thọ, Happy Star Hotel Nha Trang, Lộc Thọ, Nha Trang, Việt Nam, 650000",7.2,8.0,8.8,8.8,7.8,7.6,8.299999999999999
4_25,Diamond Bay Hotel,5 sao trên 5,"20 Trần Phú, Lộc Thọ, Nha Trang, Việt Nam",8.7,9.3,8.7,8.9,8.7,8.8,10.0
4_26,La Sera Suites Nha Trang,4 sao trên 5,"Lô 238 - Ô LK B1- Khu du lịch sinh thái An Viên Căn hộ cao cấp, Vĩnh Trường, Nha Trang, Việt Nam",8.5,8.6,9.4,9.1,8.2,8.9,8.299999999999999
4_27,Khách sạn Dqua (DQua Hotel),5 sao trên 5,"29 Phan Chu Trinh Street, Xương Huân, Nha Trang, Việt Nam, 65000",8.6,8.5,9.0,9.1,8.6,9.1,8.299999999999999
4_28,Khách sạn Red Sun Nha Trang (Red Sun Nha Trang Hotel),4 sao trên 5,"96B Trần Phú, Lộc Thọ, Nha Trang, Việt Nam",8.6,8.9,8.8,8.7,8.2,8.5,8.299999999999999
4_29,Trieu Khang Hotel,2 sao trên 5,"70-74 Đại lộ Hùng Vương, Nghĩa An, Cam Nghĩa, Cam Ranh, Khánh Hoà, Cam Ranh, Nha Trang, Việt Nam, 450000",7.6,7.1,7.9,7.8,7.2,8.1,8.299999999999999
4_30,PANAMA Nha Trang Hotel,5 sao trên 5,"39 Hùng Vương, Lộc Thọ, Lộc Thọ, Nha Trang, Việt Nam, 650000",9.0,9.4,9.3,9.4,8.9,9.1,8.299999999999999
5_1,Nomad Apartment,4 sao trên 5,"58 Trần Phú, Lộc Thọ, Nha Trang, Việt Nam, 650000",8.9,9.3,9.1,9.1,8.5,9.0,8.299999999999999
5_2,TOP Panorama Nha Trang,5 sao trên 5,"02 Nguyễn Thị Minh Khai, Lộc Thọ, Nha Trang, Việt Nam, 650000",7.5,10.0,6.7,7.3,6.7,6.7,8.299999999999999
5_3,Ana Mandara Cam Ranh,5 sao trên 5,"Lô D6A – Khu 2 – Khu Du Lịch Bắc Bán Đảo Cam Ranh – Xã Cam Hải Đông, Huyện Cam Lâm, Tỉnh Khánh Hòa , Cam Hải Đông, Nha Trang, Việt Nam, 650000",8.8,8.5,9.1,9.2,8.7,8.8,9.0
5_4,Lotus Village Nha Trang,4 sao trên 5,"20 Tran Phu, Loc Tho (Ly Tu Trong Entrance, NhaTrangCenter Building), Lộc Thọ, Nha Trang, Việt Nam, 650000",8.7,9.6,8.5,8.9,8.4,8.9,8.299999999999999
5_5,"Nhà riêng 48 m² 1 phòng ngủ, 1 phòng tắm riêng ở Biển Bãi Dài (The @Empyrean Đẹp View Biển)",3 sao trên 5,"Cam Hải Đông, Nha Trang, Việt Nam",7.759564541213063,8.005485893416928,7.835275590551181,8.045620437956204,7.701666666666666,7.923015873015873,8.299999999999999
5_6,Khách sạn và Spa Florida Nha Trang (Florida Nha Trang Hotel And Spa),5 sao trên 5,"66 Quang Trung, Lộc Thọ, Nha Trang, Việt Nam, 650000",8.5,8.5,8.8,8.6,8.4,8.7,8.299999999999999
5_7,Khách Sạn Hướng Biển Aqua (Aqua Seaview Hotel),,"Hẽm 9C,Số 11D,đường trần phú,phường vĩnh nguyên, Vĩnh Trường, Nha Trang, Việt Nam, 57129",8.8,8.7,9.1,9.3,8.9,9.0,8.299999999999999
5_8,Muong Thanh Vien Trieu Hotel & Apartment Nha Trang,5 sao trên 5,"03 Phạm Văn Đồng, Tòa OC1A Muong Thanh Vien Trieu by Review Nha Trang, Vĩnh Phước, Nha Trang, Việt Nam, 650000",7.6,9.0,7.4,7.8,7.2,7.3,8.299999999999999
5_9,Panorama Nha Trang By Risco,5 sao trên 5,"2 Nguyễn Thị Minh Khai, In Panorama Nha Trang , Lộc Thọ, Nha Trang, Việt Nam, 650000",8.7,9.5,8.7,8.7,8.6,8.7,8.299999999999999
5_10,Green World Hotel Nha Trang,4.5 sao trên 5,"44 Nguyễn Thị Minh Khai, Lộc Thọ, Nha Trang, Việt Nam, 650000",8.5,8.9,8.6,8.7,8.4,8.4,8.1
5_11,Ocean Waves Resort Cam Ranh,5 sao trên 5,"Km11, Nguyen Tat Thanh Boulevard, Nha Trang, Khanh Hoa, Cam Hải Đông, Nha Trang, Việt Nam, 65000",8.7,9.2,9.1,9.3,8.5,8.9,8.299999999999999
5_12,Odessa Hotel,1 sao trên 5,"12/8 Lý Tự Trọng, Lộc Thọ, Nha Trang, Việt Nam",7.6,8.6,7.2,8.1,7.0,7.4,8.299999999999999
5_13,Virgo Hotel,5 sao trên 5,"39-41 Nguyễn Thị Minh Khai, Tân Lập, Nha Trang, Việt Nam, 650000",9.0,9.6,8.9,9.2,8.9,9.2,8.299999999999999
5_14,Realus Sea-view Apartment in Cam Ranh Nha Trang,5 sao trên 5,"Nguyễn Tất Thành, Arena Cam Ranh , Cam Hải Đông, Nha Trang, Việt Nam, 57000",10.0,10.0,10.0,10.0,10.0,10.0,8.299999999999999
5_15,The Anchor Apartment,3 sao trên 5,"17 Cao Văn Bé, Vĩnh Phước, Nha Trang, Việt Nam, 650000",8.7,8.9,9.0,8.7,8.6,9.0,8.299999999999999
5_16,Khách sạn MCR Luxury Nha Trang (The MCR Luxury Nha Trang Hotel),4 sao trên 5,"03 - 05 Phạm Văn Đồng, Vĩnh Phước, Nha Trang, Việt Nam",7.6,8.6,8.3,8.5,7.9,7.8,8.299999999999999
5_17,Khách Sạn Cliff Nha Trang (Cliff Hotel Nha Trang),3 sao trên 5,"12 Tran Phu, Vinh Nguyen, Nha Trang, Khanh Hoa, Vĩnh Trường, Nha Trang, Việt Nam, 650000",8.1,8.5,8.2,8.4,7.9,8.5,8.299999999999999
5_18,Khách san Luxury Nha Trang (Luxury Nha Trang Hotel),3.5 sao trên 5,"24 Trần Phú , Lộc Thọ, Nha Trang, Việt Nam, 850000",7.0,8.7,6.6,6.9,6.0,6.9,6.7
5_19,Uy Duong Hotel & Apartment - Nha Trang,,"5 Bửu Đóa Uy Dương, Phước Long, Nha Trang, Việt Nam, 58000",8.7,8.5,8.4,8.5,8.5,8.6,8.299999999999999
5_20,"Nhà riêng 82 m² 3 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Family 3 Bedroom, Partial Sea View)",4.5 sao trên 5,"Vĩnh Phước, Nha Trang, Việt Nam",6.4,8.6,5.7,7.1,6.9,6.0,8.299999999999999
5_21,"Chung cư 72 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Beauty and The Beach Condominium Comfortzone)",5 sao trên 5,"Vĩnh Phước, Nha Trang, Việt Nam",8.9,9.2,8.4,9.6,8.0,9.2,8.299999999999999
5_22,BN Hotel Nha Trang,3 sao trên 5,"75 Võ Trứ, Tân Lập, Nha Trang, Việt Nam, 650000",7.5,8.7,6.8,7.8,6.8,7.7,8.299999999999999
5_23,KHÁCH SẠN SEAESTA NHA TRANG (SEAESTA NHA TRANG HOTEL),4 sao trên 5,"116A Hồng Bàng, Tân Lập, Nha Trang, Việt Nam, 650000",9.3,9.6,9.2,9.6,9.2,9.5,8.299999999999999
5_24,Khu Nghỉ Dưỡng Swandor Cam Ranh-Trọn Gói (Swandor Cam Ranh Resort-Ultra All Inclusive),5 sao trên 5,"Lô D13, Km số 11, Đại lộ Nguyễn Tất Thành, Cam Hải Đông, Nha Trang, Việt Nam, 65000",8.6,8.3,8.6,8.8,8.9,8.9,8.299999999999999
5_25,Arena Cam Ranh Resort by Realus,5 sao trên 5,", Khu 4, The Empyrean Cam Ranh Beach Resort, Cam Hải Đông, Nha Trang, Việt Nam",6.6,6.0,9.0,5.0,6.0,7.0,8.299999999999999
5_26,THE ARENA RESORT CAM RANH,5 sao trên 5,"Bãi Dài Lô D14D , đường Nguyễn Tất Thành, Phường Cam Nghĩa, Thành phố Cam Ranh, Tỉnh Khánh Hòa , Cam Hải Đông, Nha Trang, Việt Nam, 800100",7.759564541213063,8.005485893416928,7.835275590551181,8.045620437956204,7.701666666666666,7.923015873015873,8.299999999999999
5_27,KHÁCH SẠN APOLLO VACATION (HOTEL APOLLO VACATION),3 sao trên 5,"DUONG DINH TIEN HOANG, TDP TAN HAI, TH TRAN CAM DUC, CAM LAM, KHANH HOA, VIET NAM, Cam Đức, Nha Trang, Việt Nam, 57000",7.7,8.1,7.9,8.5,7.1,7.6,8.299999999999999
5_28,"Căn hộ 100 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Phước (Budget Apartment 3 Bedroom)",5 sao trên 5,"Vĩnh Phước, Nha Trang, Việt Nam",10.0,10.0,10.0,8.045620437956204,7.701666666666666,10.0,8.299999999999999
5_29,"Nhà mặt đất 80 m² 3 phòng ngủ, 3 phòng tắm riêng ở Tân Lập (S house homestay 2)",5 sao trên 5,"Tân Lập, Nha Trang, Việt Nam",10.0,10.0,10.0,8.045620437956204,7.701666666666666,10.0,8.299999999999999
5_30,Holi Anna Boutique Hotel,3 sao trên 5,"24 Nguyễn Thiện Thuật, Tân Lập, Nha Trang, Việt Nam, 650000",8.4,9.3,8.5,8.6,7.9,8.7,8.299999999999999
